id,user_id,task_id,type,title,description,confidence,data,source_analysis_id,recommendation,expected_impact,is_active,created_at,updated_at
1,1,1,analysis,薄型化条件,厚み650um以下は素材変更必要,0.8,{},1,高強度材へ変更推奨,0.9,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
2,1,1,analysis,治具制限,現行治具では保持不可,0.7,{},2,保持治具再設計,0.7,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
3,1,1,analysis,素材影響,SiC混合で強度向上,0.85,{},3,混合材採用,0.9,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
4,1,1,analysis,温度影響,加工温度が反り原因,0.7,{},4,冷却流量増加,0.6,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
5,1,1,analysis,圧力制御,チャック圧不足,0.75,{},5,圧力設定変更,0.7,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
6,1,1,analysis,過去事例,300mmで成功例あり,0.8,{},6,過去条件再利用,0.8,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
7,1,1,analysis,顧客要求,軽量化必須,0.9,{},7,仕様変更提案,0.9,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
8,1,1,analysis,装置限界,現装置不可,0.65,{},8,新装置検討,0.6,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
9,1,1,analysis,新工程,2段加工必要,0.82,{},9,工程分割,0.8,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
10,1,1,analysis,コスト,素材高価,0.6,{},10,代替素材検討,0.5,true,2024-03-01T00:00:00Z,2024-03-01T00:00:00Z
