id,user_id,task_id,action,context,session_id,focus_level,is_distraction,timestamp,duration,created_at,updated_at
1,1,1,analysis,薄型→高強度材の検討,1,0.8,false,2024-03-01T10:00:00Z,40,2024-03-01T10:00:00Z,2024-03-01T10:00:00Z
2,1,1,review,割れ→治具不足の確認,1,0.7,false,2024-03-01T10:10:00Z,30,2024-03-01T10:10:00Z,2024-03-01T10:10:00Z
3,1,1,analysis,反り→温度の検証,1,0.75,false,2024-03-01T10:20:00Z,35,2024-03-01T10:20:00Z,2024-03-01T10:20:00Z
4,1,1,test,不良→圧力の試験,1,0.8,false,2024-03-01T10:30:00Z,50,2024-03-01T10:30:00Z,2024-03-01T10:30:00Z
5,1,1,meeting,顧客要求→仕様変更の打合せ,1,0.85,false,2024-03-01T10:40:00Z,45,2024-03-01T10:40:00Z,2024-03-01T10:40:00Z
6,1,1,analysis,装置制限→工程変更検討,1,0.7,false,2024-03-01T10:50:00Z,30,2024-03-01T10:50:00Z,2024-03-01T10:50:00Z
7,1,1,research,過去成功→再利用調査,1,0.8,false,2024-03-01T11:00:00Z,60,2024-03-01T11:00:00Z,2024-03-01T11:00:00Z
8,1,1,test,新素材→効果大試験,1,0.9,false,2024-03-01T11:10:00Z,55,2024-03-01T11:10:00Z,2024-03-01T11:10:00Z
9,1,1,analysis,条件不足→試験追加判断,1,0.65,false,2024-03-01T11:20:00Z,25,2024-03-01T11:20:00Z,2024-03-01T11:20:00Z
10,1,1,review,コスト増→再検討,1,0.6,false,2024-03-01T11:30:00Z,20,2024-03-01T11:30:00Z,2024-03-01T11:30:00Z
